total women,total births,Age 20-24,women w/ no birth (NB),id,Geographic Area Name
6253,410,63,5843,51001,"Accomack County, Virginia"
25868,1247,109,24621,51003,"Albemarle County, Virginia"
3006,157,30,2849,51005,"Alleghany County, Virginia"
2396,79,42,2317,51007,"Amelia County, Virginia"
6714,285,99,6429,51009,"Amherst County, Virginia"
3369,202,33,3167,51011,"Appomattox County, Virginia"
68879,2684,68,66195,51013,"Arlington County, Virginia"
14802,709,211,14093,51015,"Augusta County, Virginia"
1007,68,0,939,51017,"Bath County, Virginia"
15918,861,257,15057,51019,"Bedford County, Virginia"
1095,17,17,1078,51021,"Bland County, Virginia"
6621,192,39,6429,51023,"Botetourt County, Virginia"
2917,190,35,2727,51025,"Brunswick County, Virginia"
4243,211,18,4032,51027,"Buchanan County, Virginia"
2996,220,62,2776,51029,"Buckingham County, Virginia"
12151,955,144,11196,51031,"Campbell County, Virginia"
6730,297,77,6433,51033,"Caroline County, Virginia"
5656,308,78,5348,51035,"Carroll County, Virginia"
1294,48,0,1246,51036,"Charles City County, Virginia"
2309,98,6,2211,51037,"Charlotte County, Virginia"
83295,5014,630,78281,51041,"Chesterfield County, Virginia"
2813,170,42,2643,51043,"Clarke County, Virginia"
1057,89,44,968,51045,"Craig County, Virginia"
11224,450,162,10774,51047,"Culpeper County, Virginia"
2101,140,128,1961,51049,"Cumberland County, Virginia"
2967,195,55,2772,51051,"Dickenson County, Virginia"
6301,424,37,5877,51053,"Dinwiddie County, Virginia"
2256,210,19,2046,51057,"Essex County, Virginia"
278867,13850,1024,265017,51059,"Fairfax County, Virginia"
15278,804,70,14474,51061,"Fauquier County, Virginia"
3076,190,50,2886,51063,"Floyd County, Virginia"
6723,266,0,6457,51065,"Fluvanna County, Virginia"
11429,495,154,10934,51067,"Franklin County, Virginia"
19161,1168,192,17993,51069,"Frederick County, Virginia"
3595,122,34,3473,51071,"Giles County, Virginia"
7977,436,109,7541,51073,"Gloucester County, Virginia"
4522,88,0,4434,51075,"Goochland County, Virginia"
2871,174,65,2697,51077,"Grayson County, Virginia"
4364,101,32,4263,51079,"Greene County, Virginia"
1731,88,50,1643,51081,"Greensville County, Virginia"
6735,404,88,6331,51083,"Halifax County, Virginia"
23296,1015,82,22281,51085,"Hanover County, Virginia"
80484,3714,650,76770,51087,"Henrico County, Virginia"
10057,579,242,9478,51089,"Henry County, Virginia"
261,13,0,248,51091,"Highland County, Virginia"
7640,222,0,7418,51093,"Isle of Wight County, Virginia"
14953,521,82,14432,51095,"James City County, Virginia"
1348,64,35,1284,51097,"King and Queen County, Virginia"
6117,310,97,5807,51099,"King George County, Virginia"
3752,232,25,3520,51101,"King William County, Virginia"
1641,26,0,1615,51103,"Lancaster County, Virginia"
4495,205,77,4290,51105,"Lee County, Virginia"
101668,5582,345,96086,51107,"Loudoun County, Virginia"
7322,364,62,6958,51109,"Louisa County, Virginia"
2388,80,30,2308,51111,"Lunenburg County, Virginia"
2546,176,51,2370,51113,"Madison County, Virginia"
1432,102,17,1330,51115,"Mathews County, Virginia"
5638,397,177,5241,51117,"Mecklenburg County, Virginia"
1626,104,0,1522,51119,"Middlesex County, Virginia"
27394,623,46,26771,51121,"Montgomery County, Virginia"
2500,197,51,2303,51125,"Nelson County, Virginia"
4614,249,0,4365,51127,"New Kent County, Virginia"
2115,130,43,1985,51131,"Northampton County, Virginia"
1743,87,19,1656,51133,"Northumberland County, Virginia"
2746,114,16,2632,51135,"Nottoway County, Virginia"
7679,391,76,7288,51137,"Orange County, Virginia"
4816,315,80,4501,51139,"Page County, Virginia"
3124,101,32,3023,51141,"Patrick County, Virginia"
12046,659,174,11387,51143,"Pittsylvania County, Virginia"
5601,411,12,5190,51145,"Powhatan County, Virginia"
6054,250,71,5804,51147,"Prince Edward County, Virginia"
7958,420,34,7538,51149,"Prince George County, Virginia"
117213,6416,670,110797,51153,"Prince William County, Virginia"
6831,246,48,6585,51155,"Pulaski County, Virginia"
1265,26,0,1239,51157,"Rappahannock County, Virginia"
1190,72,0,1118,51159,"Richmond County, Virginia"
20345,876,104,19469,51161,"Roanoke County, Virginia"
4334,177,49,4157,51163,"Rockbridge County, Virginia"
17739,847,86,16892,51165,"Rockingham County, Virginia"
5662,184,30,5478,51167,"Russell County, Virginia"
4158,196,75,3962,51169,"Scott County, Virginia"
8759,531,42,8228,51171,"Shenandoah County, Virginia"
6434,293,72,6141,51173,"Smyth County, Virginia"
3381,207,59,3174,51175,"Southampton County, Virginia"
31500,1646,244,29854,51177,"Spotsylvania County, Virginia"
36270,2020,218,34250,51179,"Stafford County, Virginia"
1286,60,24,1226,51181,"Surry County, Virginia"
1727,127,34,1600,51183,"Sussex County, Virginia"
8109,682,146,7427,51185,"Tazewell County, Virginia"
8722,534,119,8188,51187,"Warren County, Virginia"
11309,428,126,10881,51191,"Washington County, Virginia"
3260,225,81,3035,51193,"Westmoreland County, Virginia"
7762,392,50,7370,51195,"Wise County, Virginia"
6073,268,33,5805,51197,"Wythe County, Virginia"
15497,936,249,14561,51199,"York County, Virginia"
46255,2012,178,44243,51510,"Alexandria city, Virginia"
3746,170,37,3576,51520,"Bristol city, Virginia"
1551,38,5,1513,51530,"Buena Vista city, Virginia"
14696,378,0,14318,51540,"Charlottesville city, Virginia"
58090,3478,628,54612,51550,"Chesapeake city, Virginia"
4004,176,37,3828,51570,"Colonial Heights city, Virginia"
1147,55,32,1092,51580,"Covington city, Virginia"
8746,495,91,8251,51590,"Danville city, Virginia"
1160,11,11,1149,51595,"Emporia city, Virginia"
5513,290,0,5223,51600,"Fairfax city, Virginia"
3357,109,0,3248,51610,"Falls Church city, Virginia"
1805,287,0,1518,51620,"Franklin city, Virginia"
9002,343,51,8659,51630,"Fredericksburg city, Virginia"
1414,117,8,1297,51640,"Galax city, Virginia"
33127,1274,288,31853,51650,"Hampton city, Virginia"
18289,614,42,17675,51660,"Harrisonburg city, Virginia"
5216,341,100,4875,51670,"Hopewell city, Virginia"
1563,12,0,1551,51678,"Lexington city, Virginia"
23801,1288,370,22513,51680,"Lynchburg city, Virginia"
9985,661,127,9324,51683,"Manassas city, Virginia"
4448,85,16,4363,51685,"Manassas Park city, Virginia"
2826,259,18,2567,51690,"Martinsville city, Virginia"
46098,2759,573,43339,51700,"Newport News city, Virginia"
61534,3400,652,58134,51710,"Norfolk city, Virginia"
882,40,15,842,51720,"Norton city, Virginia"
7651,332,43,7319,51730,"Petersburg city, Virginia"
2425,95,0,2330,51735,"Poquoson city, Virginia"
22861,1163,211,21698,51740,"Portsmouth city, Virginia"
6325,72,4,6253,51750,"Radford city, Virginia"
64333,2989,610,61344,51760,"Richmond city, Virginia"
23533,1273,343,22260,51770,"Roanoke city, Virginia"
5967,295,96,5672,51775,"Salem city, Virginia"
5907,308,22,5599,51790,"Staunton city, Virginia"
21400,1454,229,19946,51800,"Suffolk city, Virginia"
110906,6104,870,104802,51810,"Virginia Beach city, Virginia"
4974,339,114,4635,51820,"Waynesboro city, Virginia"
5258,95,18,5163,51830,"Williamsburg city, Virginia"
6559,427,106,6132,51840,"Winchester city, Virginia"
2022801,102796,15503,1920005,0400000US51,Virginia